review_text,rating,date,bank_name,source
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Commercial Bank of Ethiopia,Google Play
very useful App,1,2025-05-26,Commercial Bank of Ethiopia,Google Play
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Commercial Bank of Ethiopia,Google Play
Wawww,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
it is good but some times says duplicate transaction why?,5,2025-05-24,Commercial Bank of Ethiopia,Google Play
very Nice,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
its best,5,2025-05-23,Commercial Bank of Ethiopia,Google Play
it is not as good as to the other mobile bank app.,1,2025-05-22,Commercial Bank of Ethiopia,Google Play
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Commercial Bank of Ethiopia,Google Play
wow,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Commercial Bank of Ethiopia,Google Play
good,5,2025-05-20,Commercial Bank of Ethiopia,Google Play
its best,5,2025-05-19,Commercial Bank of Ethiopia,Google Play
The best app ever in finance sector,5,2025-05-18,Commercial Bank of Ethiopia,Google Play
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Commercial Bank of Ethiopia,Google Play
dashen bank or dashen super app?,1,2025-05-17,Commercial Bank of Ethiopia,Google Play
wowwwe app,5,2025-05-17,Commercial Bank of Ethiopia,Google Play
"Transferring to other bank accounts is a hastle and inconvenient .Get used to seeing "" please try again """,2,2025-05-17,Commercial Bank of Ethiopia,Google Play
good,5,2025-05-16,Commercial Bank of Ethiopia,Google Play
always lagging,1,2025-05-16,Commercial Bank of Ethiopia,Google Play
Amazing Application...,5,2025-05-16,Commercial Bank of Ethiopia,Google Play
Fantastic,5,2025-05-16,Commercial Bank of Ethiopia,Google Play
"Dashen bank app is very good, but sometimes it is not working well",5,2025-05-15,Commercial Bank of Ethiopia,Google Play
its my choice,5,2025-05-15,Commercial Bank of Ethiopia,Google Play
wow apo,5,2025-05-15,Commercial Bank of Ethiopia,Google Play
awesome app keep going,5,2025-05-14,Commercial Bank of Ethiopia,Google Play
wow,5,2025-05-14,Commercial Bank of Ethiopia,Google Play
👍,5,2025-05-14,Commercial Bank of Ethiopia,Google Play
"It grows ethiopian digital banking step ahead.All fetures in one,simple fast and convince.",5,2025-05-14,Commercial Bank of Ethiopia,Google Play
Game changer,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
Totally amazing,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
super 😎,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
what a helpful app!!!!,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
Good,4,2025-05-13,Commercial Bank of Ethiopia,Google Play
nice,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
wow,5,2025-05-13,Commercial Bank of Ethiopia,Google Play
"To be honest, best banking and lifestyle app in Ethiopia.",5,2025-05-12,Commercial Bank of Ethiopia,Google Play
fast,5,2025-05-12,Commercial Bank of Ethiopia,Google Play
"A must have, seamless, all in one digital platform ""DB Superapp""! Keep living your motto ""Always one step ahead""",5,2025-05-12,Commercial Bank of Ethiopia,Google Play
"This App makes digital banking effortless and convenient. User-friendly interface, secure transactions, and excellent features for managing finances efficiently.",4,2025-05-10,Commercial Bank of Ethiopia,Google Play
good,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
Amazing app super easy to use and best design. loved it.,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
its the best ever,5,2025-05-09,Commercial Bank of Ethiopia,Google Play
nice,5,2025-05-08,Commercial Bank of Ethiopia,Google Play
excellent game changer App,5,2025-05-08,Commercial Bank of Ethiopia,Google Play
I am highly excited by using this application and it is the most favorable as well as preferrable mobile app.,5,2025-05-03,Commercial Bank of Ethiopia,Google Play
it seems me logging out within minutes,1,2025-05-03,Commercial Bank of Ethiopia,Google Play
nice app especially GUI and I have got some error when you send within dashen bank the receipter is not get SMS notification,4,2025-05-03,Commercial Bank of Ethiopia,Google Play
yes i want dashen super open,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
Best App,5,2025-05-02,Commercial Bank of Ethiopia,Google Play
faster than this version,5,2025-05-01,Commercial Bank of Ethiopia,Google Play
"Best UI mobile banking app, props to design team",5,2025-04-30,Commercial Bank of Ethiopia,Google Play
